qc_hhgrid_w4_pergrid	PLEASE CODE THE PERSON YOU ARE SPEAKING TO
qc_hhgrid_w4_pname	"Please tell me your first, or given, name?"
qc_hhgrid_w4_psname	"And please tell me your surname, or family name?"
qc_hhgrid_w4_ptitle	What title do you use?
qc_hhgrid_w4_ptitlex	What title do you use?
qc_hhgrid_w4_addrchck	"There may have been some changes in your household. {if ff_all_moved = 1 | ff_suspsplit = 1 | ff_all_moved = 2} Are you normally resident at this address? READ OUT  [ff_address1] [ff_address2] [ff_address3] [ff_address4], [ff_address5] [ff_postcode]"
qc_hhgrid_w4_coreswho	"Of the following list of people, please indicate whether you are still currently living with each of them. Please include students who may be away at boarding school or those currently in institutions but have this address as their main residence."
qc_hhgrid_w4_absun	"Last time, [ff_forname] was away at university and living in halls of residence. Is [ff_forname] still living in halls of residence?"
qc_hhgrid_w4_unihome	Does [ff_forname] live with you as their main residence?
qc_hhgrid_w4_mores	"You have indicated that you live with these people. {if PERGRID greater than 0 & CORESWHO not equal to 96} / You seem to no longer live with anyone that you were living with the last time we interviewed you. {if PERGRID greater than 0 & CORESWHO = 96} Is there anyone else who has this address as their main residence, for example new babies, lodgers or students moving home from University? [ff_forname] [ff_surname] [ff_sex] [ff_dobd] [ff_dobm] [ff_doby] [ff_forname] [ff_surname] [ff_sex] [ff_dobd] [ff_dobm] [ff_doby] [ff_forname] [ff_surname] [ff_sex] [ff_dobd] [ff_dobm] [ff_doby] [ff_forname] [ff_surname] [ff_sex] [ff_dobd] [ff_dobm] [ff_doby] [ff_forname] [ff_surname] [ff_sex] [ff_dobd] [ff_dobm] [ff_doby] [ff_forname] [ff_surname] [ff_sex] [ff_dobd] [ff_dobm] [ff_doby] [ff_forname] [ff_surname] [ff_sex] [ff_dobd] [ff_dobm] [ff_doby] [ff_forname] [ff_surname] [ff_sex] [ff_dobd] [ff_dobm] [ff_doby] [ff_forname] [ff_surname] [ff_sex] [ff_dobd] [ff_dobm] [ff_doby] [ff_forname] [ff_surname] [ff_sex] [ff_dobd] [ff_dobm] [ff_doby] [ff_forname] [ff_surname] [ff_sex] [ff_dobd] [ff_dobm] [ff_doby] [ff_forname] [ff_surname] [ff_sex] [ff_dobd] [ff_dobm] [ff_doby] [ff_forname] [ff_surname] [ff_sex] [ff_dobd] [ff_dobm] [ff_doby] [ff_forname] [ff_surname] [ff_sex] [ff_dobd] [ff_dobm] [ff_doby] [ff_forname] [ff_surname] [ff_sex] [ff_dobd] [ff_dobm] [ff_doby] [ff_forname] [ff_surname] [ff_sex] [ff_dobd] [ff_dobm] [ff_doby] {if PERGRID greater than 0 & CORESWHO not equal to 96}"
qc_hhgrid_w4_name	"What is the first name, or given name, of this other person?"
qc_hhgrid_w4_sname	"What is [NAME]'s surname, or family name?"
qc_hhgrid_w4_title	What title does [NAME] use?
qc_hhgrid_w4_titlex	What title does [NAME] use?
qc_hhgrid_w4_ynew	Why [[are you] / [is NAME]] now in this household?
qc_hhgrid_w4_joiner	[[Have you] / [Has NAME]] ever taken part in this study in the past? This could either be as part of this household or in a different household.
qc_hhgrid_w4_rejoiner	[[Are you] / [Is NAME]] any of these people?
qc_hhgrid_w4_rejoinero	[[Are you] / [Is NAME]] any of these people?
qc_hhgrid_w4_jnmnth	In what month and year did you start living with the other people in this household {if PERGRID = 0} / [NAME] start living with you {if PERGRID greater than 0}?
qc_hhgrid_w4_jnyear	In what month and year did you start living with the other people in this household {if PERGRID = 0} / [NAME] start living with you {if PERGRID greater than 0}?
qc_hhgrid_w4_sex	[[Are you] / [Is NAME]]…
qc_hhgrid_w4_birthd	What is [[your]/[NAME]'s/[ff_forname]'s] date of birth?
qc_hhgrid_w4_birthm	(What is [[your]/[NAME]'s/[ff_forname]'s] date of birth?)
qc_hhgrid_w4_birthy	(What is [[your]/[NAME]'s/[ff_forname]'s] date of birth?)
qc_hhgrid_w4_ageif	What was [[your]/[NAME]'s/[ff_forname]'s] age at [[your]/[their]] last birthday? If you don't know please give your best estimate.
qc_hhgrid_w4_more	"Is there anyone else who has this address as their main residence, for example new babies, lodgers, or students moving home from university?"
qc_hhgrid_w4_clstat	Where is [ff_forname {leaver's name}] living now?
qc_hhgrid_w4_dieprismth	In what month and year did [leaver's name] go to prison? {if CLSTAT = 5} / We are sorry to hear about [leaver's name]. In which month and year did that happen? {if CLSTAT = 0} ENTER MONTH
qc_hhgrid_w4_dieprisyr	In what month and year did [leaver's name] go to prison? {if CLSTAT = 5} / We are sorry to hear about [leaver's name]. In which month and year did that happen? {if CLSTAT = 0} ENTER YEAR
qc_hhgrid_w4_prison	Will [ff_forname {leaver's name}] be returning to this address after this period of time in prison?
qc_hhgrid_w4_includ	"In Understanding Society, we would normally include someone away at boarding school {if CLSTAT = 4} / working away from home {if CLSTAT = 2} as part of this household if it is their main residence. Is this the main residence for [leaver's name{ff_forname}], even if they are now somewhere else?"
qc_hhgrid_w4_stillres	Is [ff_forname {leaver's name}] still resident at  [ff_address1] [ff_address2]  [ff_address3] [ff_address4] [address5] [ff_pcode]?
qc_hhgrid_w4_staywith	Who else is [ff_forname {leaver's name}] still resident with?
qc_hhgrid_w4_mothr	Did [ff_forname {leaver's name}] move to the same address with any other household members?
qc_hhgrid_w4_movewith	Who else did [ff_forname {leaver's name}] move with?
qc_hhgrid_w4_lvwhy	Why did [ff_forname {leaver's name}] move or is no longer living with you {if ADDRCHCK = 1}?
qc_hhgrid_w4_movemth	In what month and year did [ff_forname {leaver's name}] move or stop living with you? ENTER MONTH
qc_hhgrid_w4_moveyr	In what month and year did [ff_forname {leaver's name}] move or stop living with you? ENTER YEAR
qc_hhgrid_w4_movadd1	"To what address did [ff_forname] move? ENTER FIRST LINE OF ADDRESS - HOUSE NUMBER OR NAME AND DETAILS OF ROAD(S). IF NOT KNOWN, ENTER CTRL + K"
qc_hhgrid_w4_movtown	(To what address did [ff_forname] move?) ENTER POSTAL TOWN - THIS IS THE TOWN THAT IMMEDIATELY PRECEDES THE POST CODE (OR COUNTRY WHERE THIS IS SHOWN). 
qc_hhgrid_w4_movpcod	"(To what address did [ff_forname] move?) ENTER POSTAL CODE. IF COMPLETE POSTAL CODE IS NOT KNOWN, ENTER CTRL + K."
qc_hhgrid_w4_movarea	"(To what address did [ff_forname] move?) PROBE FOR AREA TO WHICH [ff_forname] MOVED. IF HOUSE AND ROAD NOT KNOWN, PROBE FOR VILLAGE, TOWN, COUNTY, REGION."
qc_hhgrid_w4_movetel	What is [ff_forname {leaver's name}]'s contact telephone number?
qc_hhgrid_w4_cordet	"We just need to check that we have correct names and details of all current household members. Please confirm, for each person, if the following information is all correct."
qc_hhgrid_w4_cname	"What is the correct first name, or given name? (Details collected previously: [NAME] [SURNAME], [SEX], [DOB])"
qc_hhgrid_w4_csname	"What is [NAME/CNAME]'s correct surname, or family name? (Details collected previously: [NAME] [SURNAME], [SEX], [DOB])"
qc_hhgrid_w4_csex	"What is [Name]’s sex? (Details collected previously: [NAME] [SURNAME], [SEX], [DOB])"
qc_hhgrid_w4_cdobd	"What is [NAME]/[ff_forname]'s date of birth? (Details collected previously: [NAME] [SURNAME], [SEX], [DOB])"
qc_hhgrid_w4_cdobm	"(What is [NAME]/[ff_forname]'s date of birth?) (Details collected previously: [NAME] [SURNAME], [SEX], [DOB])"
